Hybrid_CSID,Center Name,City,Lat,Long,% Ach.,Aug 24 Target,Aug 24 Achieved,Delta,
2613,Cult Wakad (Hybrid),Pune,18.6,73.76,57.65%,"39,777","22,932","-16,845",
1871,Cult Gachibowli - Indira Nagar,Hyderabad,17.44,78.36,52.68%,"55,583","29,280","-26,303",
1320,"Cult Gym Fitnest Prime, Vasant Kunj",Gurgaon,28.54,77.14,44.69%,"41,260","18,440","-22,820",
2329,Cult New BEL Road,Bangalore,13.03,77.57,118.86%,"36,996","43,975","6,979",
219,Cult Madhapur,Hyderabad,17.45,78.38,106.67%,"33,465","35,698","2,233",
120,Cult Koramangala 80ft Rd,Bangalore,12.93,77.63,284.71%,"31,829","90,619","58,790",
3372,Cult Suchitra Road,Hyderabad,17.5,78.48,130.03%,"35,045","45,570","10,525",
212,Cult Sarjapur Doddakannalli,Bangalore,12.91,77.69,72.26%,"39,159","28,298","-10,861",
3081,Cult Whitefield Main Rd,Bangalore,12.98,77.75,147.41%,"36,814","54,268","17,454",
144,Cult Electronic City,Bangalore,12.84,77.65,107.30%,"32,919","35,323","2,404",
183,Cult Chandra Layout,Bangalore,12.96,77.53,151.20%,"29,032","43,896","14,864",
213,Cult Rajajinagar,Bangalore,13.01,77.55,101.40%,"32,283","32,735",452,
1115,Cult AECS-Brookfield,Bangalore,12.96,77.72,141.70%,"43,408","61,510","18,102",
242,Cult Tardeo,Mumbai,18.96,72.81,0.00%,"30,253",0,"-30,253",
208,Cult Model Town,Gurgaon,28.71,77.19,0.00%,"30,445",0,"-30,445",
3051,Cult Abids,Hyderabad,17.39,78.48,51.19%,"29,674","15,190","-14,484",
741,Gold's Gym (Whitefield),Bangalore,12.97,77.75,181.68%,"35,825","65,085","29,260",
2020,Cult Vijayanagar,Bangalore,12.97,77.54,272.24%,"32,162","87,558","55,396",
2755,"Cult Banashankari 2nd Stage, Siddanna Layout",Bangalore,12.93,77.57,100.73%,"43,227","43,541",314,
790,Cult KR Puram,Bangalore,13.01,77.7,136.69%,"33,962","46,422","12,460",
2152,Cult Ghatkopar,Mumbai,19.08,72.9,0.00%,"31,601",0,"-31,601",
115,Cult Indiranagar,Bangalore,12.96,77.64,38.95%,"38,996","15,190","-23,806",
691,Gold's Gym (Hadapsar),Pune,18.52,73.93,73.54%,"47,282","34,773","-12,509",
2437,Cult Moti Nagar,Gurgaon,28.66,77.15,208.46%,"34,309","71,520","37,211",
1310,Moments Fitness Hub 4.0,Bangalore,12.89,77.67,136.87%,"29,912","40,941","11,029",
283,Cult Dwarka Sector 12,Gurgaon,28.6,77.04,0.00%,"32,920",0,"-32,920",
236,Cult Preet Vihar,Gurgaon,28.64,77.29,29.35%,"27,360","8,030","-19,330",
227,Cult AS Rao Nagar,Hyderabad,17.48,78.56,41.47%,"36,625","15,189","-21,436",
3362,"Cult LB Nagar, Vanasthalipuram",Hyderabad,17.34,78.56,78.25%,"39,785","31,130","-8,655",
2513,Cult Defence Colony,Gurgaon,28.57,77.23,205.68%,"28,048","57,690","29,642",
1076,Cult Gym Mahadevpura,Bangalore,12.98,77.7,0.00%,"38,187",0,"-38,187",
764,Cult Gym Dwarka Sector 12,Gurgaon,28.6,77.04,214.47%,"32,137","68,925","36,788",
708,Cult Gym Kukatpally,Hyderabad,17.48,78.39,49.08%,"35,835","17,587","-18,248",
3069,Cult Kannamangala Seegehalli,Bangalore,13.02,77.76,345.39%,"26,605","91,891","65,286",
3355,Cult Chattarpur,Gurgaon,28.51,77.19,106.54%,"35,321","37,630","2,309",
245,Cult DLF Phase 1,Gurgaon,28.47,77.1,307.42%,"28,523","87,685","59,162",
361,Cult HSR 14th Main,Bangalore,12.91,77.64,95.40%,"32,484","30,989","-1,495",
2008,Cult Puppalaguda,Hyderabad,17.4,78.37,56.61%,"51,633","29,232","-22,401",
616,Cult Golf Course Rd,Gurgaon,28.48,77.09,0.00%,"36,294",0,"-36,294",
2423,"Cult JP Nagar, 3rd Phase",Bangalore,12.91,77.6,170.17%,"27,557","46,894","19,337",
